sport,date,match,team,ask,price
Basketball,2025-11-05,Magic vs. Hawks,Hawks,0.505,1.9801980198019802
Basketball,2025-11-05,Bucks vs. Raptors,Bucks,0.65,1.5384615384615383
Basketball,2025-11-05,Bucks vs. Raptors,Raptors,0.35,2.857142857142857
Basketball,2025-11-04,Heat vs. Clippers,Heat,0.395,2.531645569620253
Basketball,2025-11-04,Heat vs. Clippers,Clippers,0.605,1.6528925619834711
Basketball,2025-11-04,Lakers vs. Trail Blazers,Lakers,0.595,1.680672268907563
Basketball,2025-11-04,Lakers vs. Trail Blazers,Trail Blazers,0.405,2.4691358024691357
Basketball,2025-11-04,Kings vs. Nuggets,Kings,0.23,4.3478260869565215
Basketball,2025-11-04,Kings vs. Nuggets,Nuggets,0.77,1.2987012987012987
Basketball,2025-11-04,Pistons vs. Grizzlies,Pistons,0.605,1.6528925619834711
Basketball,2025-11-04,Pistons vs. Grizzlies,Grizzlies,0.395,2.531645569620253
Basketball,2025-11-04,Mavericks vs. Rockets,Mavericks,0.245,4.081632653061225
Basketball,2025-11-04,Mavericks vs. Rockets,Rockets,0.755,1.3245033112582782
Basketball,2025-11-04,Wizards vs. Knicks,Wizards,0.255,3.9215686274509802
Basketball,2025-11-04,Wizards vs. Knicks,Knicks,0.745,1.342281879194631
Basketball,2025-11-04,Jazz vs. Celtics,Jazz,0.285,3.5087719298245617
Basketball,2025-11-04,Jazz vs. Celtics,Celtics,0.715,1.3986013986013988
Basketball,2025-11-04,Bucks vs. Pacers,Bucks,0.7,1.4285714285714286
Basketball,2025-11-04,Bucks vs. Pacers,Pacers,0.3,3.3333333333333335
Basketball,2025-11-04,Timberwolves vs. Nets,Timberwolves,0.74,1.3513513513513513
Basketball,2025-11-04,Timberwolves vs. Nets,Nets,0.26,3.846153846153846
Basketball,2025-11-03,Heat vs. Lakers,Heat,0.345,2.8985507246376816
Basketball,2025-11-03,Heat vs. Lakers,Lakers,0.655,1.5267175572519083
Basketball,2025-11-03,Spurs vs. Suns,Spurs,0.695,1.4388489208633095
Basketball,2025-11-03,Spurs vs. Suns,Suns,0.305,3.278688524590164
Basketball,2025-11-03,Bulls vs. Knicks,Bulls,0.315,3.1746031746031744
Basketball,2025-11-03,Bulls vs. Knicks,Knicks,0.685,1.4598540145985401
Basketball,2025-11-03,Grizzlies vs. Raptors,Grizzlies,0.345,2.8985507246376816
Basketball,2025-11-03,Grizzlies vs. Raptors,Raptors,0.655,1.5267175572519083
Basketball,2025-11-03,Hawks vs. Cavaliers,Hawks,0.325,3.0769230769230766
Basketball,2025-11-03,Hawks vs. Cavaliers,Cavaliers,0.675,1.4814814814814814
Basketball,2025-11-03,Jazz vs. Hornets,Jazz,0.425,2.3529411764705883
Basketball,2025-11-03,Jazz vs. Hornets,Hornets,0.575,1.7391304347826089
Basketball,2025-11-03,76ers vs. Nets,76ers,0.665,1.5037593984962405
Basketball,2025-11-03,76ers vs. Nets,Nets,0.335,2.9850746268656714
Basketball,2025-11-03,Pelicans vs. Thunder,Pelicans,0.145,6.8965517241379315
Basketball,2025-11-03,Pelicans vs. Thunder,Thunder,0.855,1.1695906432748537
Basketball,2025-05-08,Knicks vs Celtics,Knicks,0.495,2.0202020202020203
Basketball,2025-05-08,Knicks vs Celtics,Celtics,0.505,1.9801980198019802
